调研地,村名,村落光伏发展指数,分组,if_exp_unit
重庆-重庆市-万州区,百安坝街道（城镇）,0.813285188,西南,0
重庆-重庆市-南川区,重庆市南川区福寿镇白岩村,0.271086462,西南,0
重庆-重庆市-丰都县,培观村,1.897605234,西南,1
浙江-温州市-永嘉县,联丰村,0.542172924,华东,1
浙江-温州市-平阳县,凤山村,1.901055074,华东,1
浙江-温州市-瓯海区,南白象街道,1.087503056,华东,0
浙江-台州市-天台县,苍蒲坑村,0.542172924,华东,1
浙江-台州市-天台县,东陈村,0.542172924,华东,1
浙江-宁波市-海曙区,长乐村,1.084345848,华东,0
浙江-嘉兴市-桐乡市,义马村,1.496753332,华东,0
浙江-嘉兴市-海宁市,德丰村,1.677780883,华东,0
浙江-湖州市-长兴县,抛渎岗村,0.428643626,华东,1
浙江-杭州市-余杭区,荀山村,0.116259614,华东,0
云南-昭通市-镇雄县,布丈村,1.084345848,西南,0
云南-昆明市-呈贡区,万奚冲村,0.271086462,西南,0
云南-大理白族自治州-永平县,光映村,1.127740618,西南,0
天津-天津市-静海区,府君庙村,1.355627042,华北,0
四川-自贡市-富顺县,凤仪村,0.0,西南,0
四川-内江市-隆昌县,福庆村,0.542172924,西南,0
四川-绵阳市-游仙区,涪江村,0.542172924,西南,0
四川-绵阳市-盐亭县,照红村,0.542172924,西南,0
四川-绵阳市-江油市,诗仙村,0.816416594,西南,0
四川-德阳市-广汉市,百里村,1.39882708,西南,0
四川-成都市-简阳市,九龙滩村,0.271086462,西南,0
上海-上海市-浦东新区,孙桥,0.276208433,华东,0
上海-上海市-奉贤区,法华村,0.27424367,华东,1
陕西-咸阳市-淳化县,南胡同村,1.050101781,西北,0
陕西-西安市-周至县,联集村,-0.037823189,西北,0
陕西-西安市-周至县,骆驼营村,0.623063512,西北,0
陕西-渭南市-潼关县,南歇马村,1.358872567,西北,1
陕西-宝鸡市-岐山县,五丈原,0.271086462,西北,1
山西-运城市-芮城县,曹庄村,0.973918513,华北,1
山西-运城市-芮城县,西陌村,2.79146852,华北,1
山西-忻州市-原平市,焦家寨,0.813259386,华北,1
山西-太原市-阳曲县,黄寨村,1.939654616,华北,0
山西-太原市-阳曲县,中社村,1.010935326,华北,0
山西-太原市-娄烦县,河北村,2.797866685,华北,0
山西-太原市-古交市,河口村,1.744886377,华北,0
山西-晋城市-阳城县,会庆村,1.047074601,华北,0
山西-晋城市-沁水县,郑庄村,1.084345848,华北,0
山西-晋城市-沁水县,常店村,0.504412854,华北,0
山东-淄博市-桓台县,城东村,0.0,华东,1
山东-烟台市-牟平区,陡崖村,0.939660476,华东,0
山东-烟台市-莱州市,连郭庄村,0.439119217,华东,1
山东-潍坊市-青州市,十八里屯村,1.087322994,华东,1
山东-泰安市-泰山区,刘家庄,0.893835664,华东,0
山东-泰安市-宁阳县,北鄙村,1.667246658,华东,0
山东-泰安市-岱岳区,大桥村,0.542172924,华东,0
山东-日照市-五莲县,中至村,1.084870659,华东,0
山东-日照市-东港区,大坡村,1.12534404,华东,0
山东-青岛市-崂山区,金家岭街道,1.087503056,华东,0
山东-青岛市-莱西市,田格庄,1.627378836,华东,1
山东-青岛市-莱西市,大刘格庄村,1.084345848,华东,1
山东-青岛市-莱西市,范家疃,0.853913553,华东,1
山东-青岛市-莱西市,张家寨子,0.929455285,华东,1
山东-临沂市-蒙阴县,类家城子村,1.402158165,华东,0
山东-临沂市-兰山区,枣园镇,0.271086462,华东,0
山东-济宁市-任城区,（南张街道）玄楼村,0.546142452,华东,0
山东-济宁市-曲阜市,春亭,2.597842607,华东,1
山东-济宁市-曲阜市,王庄,2.801923081,华东,1
山东-济南市-商河县,单家园,1.913231754,华东,1
山东-济南市-历城区,港沟街道,1.355430261,华东,1
山东-济南市-槐荫区,鲁唐村,1.084345848,华东,0
山东-菏泽市-单县,大朱庄,0.813259386,华东,0
山东-德州市-陵城区,三洄河村,1.127236182,华东,0
山东-德州市-德城区,前赵村,1.084345848,华东,0
山东-滨州市-沾化区,东杨村,0.0,华东,1
内蒙古-鄂尔多斯市-达拉特旗,得胜泰村,0.192798156,华北,0
内蒙古-赤峰市-喀喇沁旗,河北村,0.0,华北,0
辽宁-沈阳市-浑南新区,下高士村,0.271086462,东北,0
江西-宜春市-上高县,锦阳小区,1.362700459,华东,0
江西-上饶市-广丰区,桐畈村,0.542172924,华东,0
江西-吉安市-永新县,富头村,1.517780159,华东,0
江西-吉安市-井冈山市,沃壤村,1.941000004,华东,0
江西-赣州市-赣县区,江口镇旱塘村,1.920691938,华东,0
江西-赣州市-赣县区,江口镇东风村,1.828683045,华东,0
江苏-盐城市-响水县,周集村,1.823039977,华东,0
江苏-盐城市-亭湖区,五星村,0.813259386,华东,0
江苏-泰州市-兴化市,唐林村,0.271086462,华东,0
江苏-南通市-如东县,田季村,0.001799611,华东,1
江苏-南通市-如东县,高前村,0.482163105,华东,1
吉林-长春市-绿园区,杨柳社区,0.0,东北,0
吉林-长春市-九台区,拉拉屯村,0.271086462,东北,0
吉林-延边朝鲜族自治州-汪清县,罗子沟农场,1.717990725,东北,1
湖南-张家界市-永定区,吴家嘴村,0.582472566,华中,0
湖南-张家界市-永定区,大庸所,2.212086466,华中,0
湖南-张家界市-永定区,沙缇,2.212086466,华中,0
湖南-岳阳市-汨罗市,清泉村,0.542172924,华中,1
湖南-永州市-东安县,雄塘村,1.087135246,华中,0
湖南-邵阳市-新宁县,飞黄村,0.542172924,华中,0
湖南-娄底市-新化县,六竹村,1.39882708,华中,0
湖南-娄底市-娄星区,斗罡村,0.542860975,华中,0
湖南-娄底市-娄星区,三圭村,1.084689111,华中,0
湖北-宜昌市-伍家岗区,雷家畈村,1.053925759,华中,0
湖北-宜昌市-五峰土家族自治县,大房坪村,0.271158509,华中,0
湖北-宜昌市-五峰土家族自治县,楠木桥村,0.813259386,华中,0
湖北-孝感市-云梦县,水酒铺村,0.0,华中,1
湖北-咸宁市-通山县,岭下村,0.272279615,华中,0
湖北-荆州市-监利县,新庄村,0.813259386,华中,0
湖北-荆州市-公安县,丁堤拐村,0.814617382,华中,0
湖北-黄冈市-蕲春县,姚垸村,1.399981024,华中,0
湖北-黄冈市-麻城市,果园村,2.168691696,华中,0
黑龙江-齐齐哈尔市-建华区,黎明村,0.271086462,东北,0
黑龙江-齐齐哈尔市-昂昂溪区,崔门村,1.35543231,东北,0
河南-驻马店市-遂平县,郑湾村,1.088706737,华中,0
河南-郑州市-新郑市,酒孙村,0.813259386,华中,0
河南-新乡市-牧野区,定国村,1.667839488,华中,0
河南-新乡市-辉县市,杨庄,1.365753082,华中,1
河南-商丘市-虞城县,城郊乡,0.232455016,华中,0
河南-商丘市-民权县,管寨村,0.85472069,华中,1
河南-濮阳市-濮阳县,马寨村,0.81413775,华中,1
河南-平顶山市-湛河区,汴城,-0.07961948,华中,0
河南-南阳市-西峡县,方家沟村,0.545330132,华中,0
河南-南阳市-方城县,李庄村,1.357821378,华中,0
河南-开封市-禹王台区,演武厅社区,1.626885407,华中,0
河南-开封市-龙亭区,回龙庙社区,0.0,华中,0
河南-济源市,西天江,-0.118815185,华中,0
河南-济源市,东轵城村,1.627571912,华中,0
河南-安阳市-安阳县,李家山村,1.853101764,华中,1
河北-邢台市-信都区,韩演庄,0.271086462,华北,1
河北-邢台市-临西县,贺伍庄村,1.360289144,华北,0
河北-唐山市-丰南区,小裴庄村,1.900654686,华北,1
河北-石家庄市-新乐市,陈家庄村,1.165535855,华北,0
河北-承德市-围场满族蒙古族自治县,三岔口,1.673836567,华北,0
河北-承德市-承德县,药王庙村,1.71137697,华北,0
河北-沧州市-肃宁县,西泊庄村,0.544492199,华北,1
海南-万宁市,厚皮树村,0.813259386,华南,1
海南-三亚市-天涯区,海南省三亚市育才生态区抱安村委会南来苗村,0.271086462,华南,1
海南-三亚市-天涯区,立才农场 那会村,2.253267096,华南,1
海南-陵水黎族自治县,大坡村,0.311857766,华南,0
海南-乐东黎族自治县,十所村,0.542172924,华南,1
海南-海口市-龙华区,永乐村,0.001911254,华南,0
海南-儋州市,沙田队,0.0,华南,0
海南-儋州市,藤根村,0.0,华南,0
海南-澄迈县,大场村,0.813259386,华南,1
贵州-遵义市-绥阳县,中坪村,1.107591919,西南,0
贵州-遵义市-仁怀市,立岩村,1.39882708,西南,0
贵州-遵义市-汇川区,黄泥村,0.271086462,西南,0
贵州-铜仁市-思南县,张湾村,0.271086462,西南,0
贵州-黔西南布依族苗族自治州-兴义市,巴布村,0.271086462,西南,1
贵州-毕节市,红岩村,1.658771183,西南,0
广西-柳州市-融安县,沙子村,0.271086462,华南,0
广东-中山市,城市—南头镇 南城社区,1.669814108,华南,1
广东-汕头市-南澳县,羊屿村,2.212086466,华南,0
广东-惠州市-惠阳区,张新村,0.585567694,华南,1
甘肃-白银市-会宁县,柴门村,1.897605234,西北,1
福建-厦门市-翔安区,赵厝村及东园村,1.938431413,华东,1
福建-三明市-三元区,群二社区,0.271139938,华东,0
福建-龙岩市-新罗区,朝前村,0.000639057,华东,0
福建-福州市-闽侯县,关口村,1.084345848,华东,1
北京-北京市-门头沟区,南港村,0.0,华北,1
北京-北京市-房山区,双柳树村,0.271086462,华北,1
安徽-宣城市-泾县,紫阳村,0.542285351,华东,0
安徽-宣城市-广德市,洪桥村,1.583193401,华东,1
安徽-宣城市-广德市,巫冲村,0.168592909,华东,1
安徽-芜湖市-无为市,金李村,1.402086271,华东,0
安徽-芜湖市-繁昌区,孙村镇茶山村骆冲自然村,1.558827749,华东,1
安徽-马鞍山市-博望区,西城村,1.36001932,华东,0
安徽-六安市-金寨县,汤家汇镇街道村,1.043728012,华东,1
安徽-合肥市-肥西县,义城,2.22102028,华东,0
安徽-合肥市-肥东县,群力村,0.271422643,华东,0
安徽-合肥市-肥东县,陂塘村,0.0,华东,0
安徽-合肥市-肥东县,兴一社区,0.918677953,华东,0
安徽-阜阳市-颍泉区,吴庄行政村,0.031008596,华东,0
安徽-阜阳市-界首市,小张行政村,0.317751438,华东,0
安徽-滁州市-定远县,卜店村,1.670157917,华东,0
安徽-池州市-贵池区,龙山村,1.436078486,华东,1
安徽-亳州市-蒙城县,马洼村,2.843621363,华东,0
