word,count
我妈,26
前几天,5
给我打电话,5
要装,6
无良,15
公司,200
超过,5
60,12
岁,7
签,46
老人,22
偿还,7
能力,6
我看了,5
合同,191
真的,42
满满,2
都写,3
吃人,11
不让,9
骂我,2
家,13
装了,65
收了,5
两三年,3
钱了,3
几年前,12
非法集资,4
跑业务,2
夫妻,2
为数不多,2
存款,4
打了,4
水漂,2
又要,4
光伏,607
发电,163
坑,41
儿子,3
骗局,127
诈骗,157
换个,6
幌子,3
骗,55
仔细,4
团伙,7
责任,11
归给,2
避重就轻,3
关键,6
合法,16
家用,9
发电设备,6
整套,4
便宜,12
五万,2
自带,2
电池,27
停电,8
撑,3
一会,3
那种,19
像这种,5
免费,73
发点,4
不过是,5
免费送,3
高级,4
保健品,2
一类,4
变种,2
一七年,2
外婆,2
还在,13
村,34
来了,18
搞,41
宣传,22
就像,7
熟知,2
传统,3
手段,8
先是,4
送盆,2
送,5
抹布,2
便宜货,2
然后又,4
三天,3
一大群,3
老年人,10
掏出,2
八百多,2
买了,12
九块九,2
包邮,2
带有,3
感温,2
变色,2
体的,2
碗,2
劝,5
不住,3
因为他们,3
就信,2
我还是,5
资本家,7
就该,2
找个,3
路灯,6
挂起来,2
求,2
置顶,2
评论,26
区,15
人说,8
抹黑,17
亲身经历,2
告诉我,2
东西,83
我老爸,3
被骗,40
说什么,6
回本,68
赚钱,87
欺骗,10
农民,49
不懂,19
经济,4
时间价值,2
最理想,3
状况,3
也要,10
安装,162
忽悠,16
签合同,34
交钱,7
等我,5
回来,13
才知道,3
这件事,5
打开,3
一看,3
全是,7
保障,5
利益,13
条款,8
包,3
人员,11
吃住,2
陌生人,2
你家,17
搬运,4
屋顶,85
解决,10
跟着,5
帮忙,3
出了问题,4
再打电话,2
孙子,3
大爷,5
气,2
要死,2
收益,68
达不到,2
预期,2
骗子,95
玩意,50
有钱,12
放,15
支付宝,4
都比,12
香,2
还是得,2
找,35
谱,15
央企,4
行业,44
从业者,4
得说,2
事,17
错,9
追,2
热点,3
太可恶,2
投资,70
回收期,6
地点,2
光照,19
条件,11
越好,2
回收,13
越快,2
设备,141
选用,2
可靠,5
大厂,9
时,11
市场价格,2
十年,42
这么久,2
江浙沪,3
56,2
农村,53
项目,62
本来,10
面积,7
也就,15
几万,7
投资总额,2
这里面,4
如果在,2
以次充好,4
加收,2
几千元,2
过量,2
设备安装,3
费用,16
测算,3
会对,2
内部,3
收益率,10
影响,11
很大,7
想做,3
要看,6
当地的,5
补贴,64
上网,14
电价,19
再找,2
专业人员,2
采购,4
懂,11
电气设备,2
产品质量,2
大公司,7
推出了,2
整县,3
推进,7
政策,15
会有,4
越来越,8
正规,21
希望大家,2
别对,2
丧失,2
信心,2
转移,6
话题,3
锅,7
上贴,3
居心,4
保卫,4
萝卜,4
_,19
你说的,17
新能源,42
产业,42
我国,16
摆脱,2
美国,5
石油,3
霸权,4
美元,2
武器,3
不存在,3
产能过剩,18
碳,11
减排,5
火电厂,2
发电量,17
下降,5
电力,13
缺口,2
非常大,2
电力行业,2
都在,10
讨论,3
源网,2
荷储,2
能源,11
端口,2
电费,58
面临,4
涨价,3
压力,4
多年,6
没涨,2
国家,98
压着,2
太阳能发电,11
几波,2
几年,16
就回,5
赚,58
钱,86
一句,13
话,10
我没有,3
时间,16
照看,2
250,2
平方,5
租,31
随便,6
我拟,2
一份,5
按年,3
给我,18
房租,4
就可以,8
我不管,2
一年,70
1000,15
块,18
就行了,11
后续,9
哈哈哈,6
为什,2
这种情况,9
而不是,11
你说,7
这么多,7
废话,7
银行,107
有什么,11
权利,2
把钱,9
贷给,3
稳定,8
收入,15
侮辱,2
说了,9
一大堆,6
制造,4
焦虑,2
建议,29
解决方案,2
动作,2
一概,2
也不,17
提,5
喜极而泣,4
某新,2
农业科技,2
职员,2
朋友,10
员工,3
扶持,7
他说,4
上门,13
认可,2
这部分,3
下乡,12
企业,36
只做,3
技术支持,2
法律,18
税收,2
出面,2
推广,10
创收,2
提前,4
半年,5
政府,20
村委,2
说好了,2
村里,30
统一,3
工作人员,4
办,12
纠着,2
个体户,2
多半,2
还可能,3
判定,2
违法,5
吃瓜,30
你自己,5
渠道,2
申请,9
咨询,3
真实,6
人物,3
姓名,3
实体,3
名称,3
合同纠纷,3
蓝本,3
故事,15
脚本,3
数据,5
支撑,4
逻辑,5
推演,3
结论,3
下游,4
买家,3
生产厂商,3
出口,6
碳达峰,3
战略,6
实施,4
风电,6
水电,4
核电,6
非,3
大力发展,4
技术,19
处于,3
世界领先地位,3
会来,4
攻击,5
领先,4
技术产业,3
组合,2
希望,6
予以,2
严厉,2
惩处,2
不太懂,3
民法典,3
相关规定,2
重大误解,5
发生,6
民事行为,2
撤销,3
走亲戚,2
闲聊,2
xxx,2
事是,2
视频,85
在编,3
还取,2
名字,7
误导,6
流量,9
更多,7
警惕,6
销售,15
资本,18
摆明,3
警示,2
群众,2
编,16
收藏,2
的意义,2
求你,2
帮,4
情况,10
里,15
呼吁,2
观众,3
提醒,3
在农村,4
亲戚,10
三连,2
这个人,4
应该是,12
洗稿,3
我在,9
财经,5
公众,2
号,12
上也,2
刚刚,4
看了,7
文章,4
我有个,2
大胆,1
想法,7
给他们,10
收,12
脱单,4
说实话,10
反感,1
口口声声,2
不良,2
商家,2
说到底,3
欺负,7
用户,13
不看,9
协议,4
不识字,19
电信,11
两样,1
早些,1
保险行业,1
理财,7
合同诈骗,11
但是你,1
额,2
😓,3
看完,3
有个,8
正当,1
损失,4
全由,1
一方,1
承当,1
另一方,1
风险,26
区别,5
举报,43
春秋笔法,3
踩,10
捆绑,3
让人,5
=,6
居心不良,1
没问题,11
黑心,6
老家,14
UP,13
该不会是,1
行走,4
我家,100
太阳能,62
正经,6
租借,1
房顶,31
板子,34
飞了,1
雷劈,1
房子,22
塌了,1
都跟,1
一毛钱,2
唯一,3
到期,2
我家了,1
房屋拆迁,2
可以申请,1
国家赔偿,1
里说,5
内容,11
碰到,6
诋毁,2
开发建设,1
选择了,1
能为,1
人类,2
福利,2
劳动,1
职业,1
重担,1
就不能,2
压倒,1
献身,1
感到,1
的就,11
可怜,4
有限的,1
自私,1
乐趣,1
幸福,5
千百万,1
的事业,1
永恒,1
发挥作用,1
面对,1
骨灰,1
高尚,1
洒下,1
热泪,1
—,8
卡尔,1
·,2
马克思,1
不公平,1
合约,2
法院,20
本应,1
偏向,2
证明,4
中,12
有一方,1
阅读,1
判断,1
合同无效,11
第三,6
银行贷款,12
持有,1
身份证,16
影像,1
资料,2
金额,4
贷款,166
贷款人,2
资金,4
目的是,2
考证,1
简单,10
参考资料,1
只能,16
乱套,1
感觉,26
我爸,33
见我,1
大伯家,1
上了,4
也想,4
在家里,3
制止,2
相关,6
都不,17
再加上,1
可就,4
一笔,2
小数目,1
会吐,1
老百姓,16
做梦,2
去吧,1
最关键,1
真有,4
合同期,2
很长,5
给你,32
没啥,6
用了,4
等于,3
白用,1
一套,17
没用,3
补偿,5
说着,1
不了解,3
嘴里,1
的说,3
你就,4
做做,1
工作,12
垃圾,9
我不太清楚,1
具体情况,1
活动,4
利润,10
远远,2
高,27
只出,3
场地,5
年后,13
这套,3
在这,3
期间,3
说是,19
不能用,4
里边,4
电,88
不到,21
两千块,1
什么时候,3
第三方,3
签了,20
造就,1
一大批,1
人是,4
革命,2
先锋队,1
政治,1
远见,2
充满,1
斗争,1
精神,3
牺牲,1
胸怀坦白,1
忠诚,2
正直,1
不谋私利,1
民族,1
社会,5
解放,1
不怕困难,1
困难,2
面前,1
坚定,1
勇敢,1
向前,1
狂妄,1
分子,3
风头,1
主义者,1
脚踏实地,1
富于,1
中国,26
要有,4
先锋,1
中国革命,1
就能够,1
顺利,1
1937,1
月,10
23,2
日为,1
陕北公学,1
成立,1
写,4
题词,1
该杀,1
温峻岩,1
只能说,12
舆论,1
战,1
在继续,1
原神,2
归罪于,1
啧,1
开,4
便门,1
很好,7
也在,1
减少,1
依赖,1
用电量,9
增长,1
一部分,4
目标,1
话说回来,1
骗钱,9
随便找个,2
都行,2
符合,1
人不,8
中国人,11
开局,2
一段,2
重点,6
全靠,5
点赞,4
会让,1
人去,2
去借,1
信用卡,2
一系列,1
操作,6
卖出去,4
就好,5
我用,4
骂,8
搞笑,3
类似,3
利用,18
认知,2
信息,7
差,13
这并不是,2
每个人,1
认清,1
自己的,9
定位,1
天上,16
掉馅饼,17
给人,3
安装了,5
好几家,2
越装,1
越觉得,1
不太靠,1
最多,8
270,2
块板,3
总共,2
61w,1
人民币,1
计算,4
不出意外,1
实际上,3
报销,1
额外,5
成本,62
保修,11
但只有,1
板保,1
久,1
五年,10
跨度,1
谁也不能,1
保证,5
会不会,2
跑路,14
维修,19
就不,8
那也是,1
天价,1
懂哥,1
讲,9
b,6
合,2
不合法,3
到底是不是,1
微笑,14
回顾,1
我所,1
走过的路,1
学到,1
研究所,1
生活,9
说它,1
不幸福,1
站在,2
人民,2
之中,1
大家一起,2
改造,3
双手,1
建立一个,1
压迫,1
剥削,2
美好,1
富有,1
新,6
幸福观,1
是多么,1
狭窄,1
我常常,1
牛,3
打交道,1
吃饱了,1
卧,1
在地下,1
反刍,1
别无所求,1
样子,5
想到,1
能动性,1
动物,1
我想,2
某种,1
生活水平,1
世界,5
过程中,3
有的人,1
目的,3
但这种,3
建筑,1
大多数人,1
痛苦,1
之上,1
终究会,1
历史,4
消灭,1
核物理学家,1
共产主义,1
革命者,1
国际主义,1
战士,1
寒春,1
个别的,1
是有,11
主有,1
以点带面,1
误区,1
年了,4
年半,2
三年,5
省级,1
一度,14
毛,12
电网,39
并网,18
价格,30
递减,1
大众,1
坐标,4
河北保定,1
我愿,1
为我,1
负责,15
只是因为,1
兄弟,3
萌我,1
您呢,1
制裁,4
隆基,5
文就,1
层出不穷,2
🤔,1
打着,4
破坏,4
形象,1
你在,4
黑,5
判断力,1
一听,5
拒绝了,2
昨晚,1
营销,11
中立,1
发表,1
观点,2
播放,1
量,2
吸引,3
眼球,4
你也是,3
怪物,1
吃掉,2
未来,4
希望你,1
引战,3
明确指出,1
京东,3
35,3
元,16
值得,7
你怎么,2
不说了,4
来到,1
这个世界上,1
每一个,1
毛孔,2
肮脏,1
记错,2
当年,6
p2p,5
支持,16
我没,4
是这样的,3
算不算,5
不讲,1
打败,1
提升,2
实力,3
战胜,1
太,12
你不懂,2
行,3
你爱,1
小便宜,2
分析,4
他家,3
没必要,4
公司成立,1
一年多,3
有点像,2
悬,1
你猜,1
怎么着,1
妙,14
阿公,1
我干,1
懂行,1
我就是,7
不想,5
让他,8
敌人,2
竭尽所能,1
批评,1
好极了,1
世界第一,1
无可置疑,1
事实,6
猜,1
是谁,5
我劝,1
同志们,1
多读书,1
免得,1
受了,1
境外,1
势力,1
说完,2
欺负人,2
打破,1
权力,1
格局,1
重来,1
死亡,2
重生,1
这不是,11
老实人,6
还不,6
涨粉,1
让我们,7
忠于,3
理想,9
面对现实,2
如果说,2
浪漫主义者,1
不可救药,1
理想主义,1
是不可能,2
事情,26
一千,2
零,4
回答,3
就是这样的,2
出身,1
平凡,1
理想主义者,1
不难,1
难的是,1
成功,3
拥有了,1
羡慕,1
人生的,1
巅峰,1
勇气,1
放弃,3
高官厚禄,1
重返,1
战场,1
引自,1
格瓦拉,3
生命,1
证明了,1
•,1
电站,19
全款,5
经营性,1
租赁,21
看你,4
选,5
脑子,5
灵光,1
躺着,9
就能,16
赚了,4
陷阱,4
心理,1
想着,5
低回报率,1
小户人家,1
好处,5
省,7
的钱,30
赚点,5
量大,1
厂房,6
养殖场,1
查,5
tv,5
说不定,6
歪,2
屁股,6
改,8
存活,1
不易,1
灯下黑,1
其心,2
诛,2
借光,3
伏,3
坑蒙拐骗,1
勾当,1
不是好,2
业务,8
运维,6
入行,1
四年,2
小公司,5
代理,5
坑人,8
过度,1
成本核算,1
山东,4
往南,1
三类,1
地区,16
最快,1
68,2
爱,1
G,1
警告,2
动态,5
研究,5
平民,2
好事,17
愣着,1
干什么,1
很有,9
误导性,4
没有任何,4
证据,9
发展,14
是好事,4
看清,2
p,2
传销,8
西部大开发,2
旗号,1
喜欢,2
名头,2
报警,9
什么都有,1
法庭上,1
牵扯,2
不平等条约,1
诱骗,3
等等等等,1
告不赢,1
奈何,1
读过,1
书,1
怕事,1
免灾,1
普法教育,1
到位,1
没事了,1
不负责任,2
这和,5
产能,7
有什么关系,3
明明,8
你这,19
再起,1
有半,2
毛钱,4
违法犯罪,1
现象,4
经历了,1
你知道,3
不谢,2
你懂,2
满嘴,1
胡说八道,4
怼,3
后半段,1
经历过,1
欧美,4
巴不得,1
死,4
被人,10
刀子,1
良心,7
老赖,2
嗑瓜子,7
还判,1
赔款,1
定性,1
立案,1
追查,1
补骗,1
懂法,3
作者,4
积点,1
德,1
不代表,2
吃,11
方便面,2
噎着,1
不去,3
起诉,12
厂家,11
遭遇,2
电信运营商,1
明知,1
意做,1
每一次,1
作恶,2
都会,6
在未来,1
时刻,1
付出代价,2
花了,8
四万,1
能有,5
用不完,2
都给,3
电力公司,3
那么多人,1
判决,2
外皮,1
实行,2
词语,1
有带,1
节奏,5
嫌疑,2
签字,10
拓印,1
承担责任,4
承担,11
归其,1
随意,1
导致,8
好歹,1
想一想,1
一块,20
诈骗犯,3
株连,1
某些人,1
圣母,1
心说,1
禍,1
不及,1
妻儿,1
祸害,1
家庭,10
又有谁,1
千千万万,1
孩子,3
罗翔,2
刑法,1
不用说,1
这就是,15
光明正大,2
为所欲为,1
盗个,1
50W,2
都有,15
硬往,1
收钱,6
有几年,1
广告,3
纸,1
两个,4
大字,2
推销,27
真相,3
少,11
沸腾,1
多一点,1
理性,2
心心,10
条理,1
讲清楚,1
有两种,1
套路,20
稍微,2
甲方,10
什么事,3
传唤,1
负债,3
未知,1
村长,6
概率,4
先,4
流程,9
这批,1
上当,6
半天,3
没看懂,1
就会,9
瞎,1
指责,1
捂脸,7
笑哭,30
好多,6
反智,1
人士,1
解析,1
智商,5
觉得自己,1
很聪明,1
😆,1
👴,1
明白了,7
模式,39
是怎么回事,1
爸妈,11
差点,4
老妈,1
打电话给我,2
我带,1
满脸,1
问号,1
去了,4
是什么,5
星,1
跟你说,3
房产证,3
我一,6
不靠,6
110,1
乡派出所,1
走了,5
户,11
字,10
叔叔,3
无语了,2
感谢,6
发给,2
妈妈,2
家里,35
还好,15
啥事,3
先问,1
我又,3
去过,2
太阳能电池,2
板厂,1
私人,3
不赚钱,8
搜,8
一群人,1
表达,5
主旨,1
火电,2
占,4
没太,1
明白,5
神奇,2
降价,3
贷款合同,7
假币,1
埋怨,1
沆瀣一气,1
下次,4
一家,5
报,1
霸王条款,3
符合国家,1
但是有,2
打击,2
讲道理,1
欺诈,13
思考,7
无故,1
世间,1
午餐,4
贪小便宜,5
的心理,2
最容易,2
ngo,1
养,1
小号,3
站,13
某乎,2
读,2
外面,2
素材,1
瞎扯淡,1
上个,2
负,1
法律责任,3
滑稽,17
签订,5
合法的,2
法律保护,3
差钱,2
自费,12
买,40
环保,7
努力,1
打工,3
搞钱,1
别整,1
花里胡哨,1
笑死,8
能装,3
面板,1
当小破,1
平台,1
不带,2
十年前,3
流行,2
一时间,1
搞不清,1
友军,1
50w,4
张三,2
狂喜,1
又有,1
案例,4
我以前,2
就做,1
我敢,1
不做了,3
真没有,1
主说,7
夸张,2
情况下,15
真的很,2
合适,9
要找,2
90%,1
彩钢瓦,1
也没,7
今年年初,2
通知说,1
违建,1
拆,5
51,1
过后,1
就开始,2
有消息说,1
要搞,4
藏狐,18
我这边,6
工业园,1
厂里,3
活人,1
开了,1
生产,5
擦,1
旁边,1
两家,1
怎么回事,1
不清楚,3
把我,4
放在哪里,1
再也,1
不用,23
口若悬河,1
气候,3
大会,1
人民日报,1
来看看,1
迫害,1
党的政策,1
降低,8
信用,5
从业人员,5
我有,2
想说,1
安装公司,6
多种,1
一种,15
租用,5
户主,8
楼面,1
每平,1
11,5
14,2
之间,1
租期,1
不可抗力,4
或者是,5
故障,2
损坏,20
外,4
都要,10
兴起,1
扯皮,2
第二种,3
可以选择,1
贷,8
江西,1
赣州,1
为例,3
比例,1
12,2
块钱,13
1w,3
理论,2
老化,7
率,3
82%,1
逆,1
变压器,1
质保,10
20kw,1
3000,3
维护,26
年利率,1
85%,1
不算多,1
划算,7
网上,9
购买,5
手续,6
搭,3
铝合金,1
棚,2
师傅,5
省下,2
40%,1
04344,1
补助,2
三分,1
补,6
大妈,1
只不过,7
有意,2
合作,12
推销员,5
烂,3
很反感,1
答案,2
李,5
阿姨,7
上诉,1
合同签订,1
公平,3
原则,1
具备,1
高科技,3
产品,11
细则,1
诈骗罪,1
几处,1
不明白,2
设计,6
虚假,1
转给,1
安装费,2
货款,2
后不,1
还贷,1
打电话啊,1
骗了,13
偷着乐,1
才对,3
找上门来,1
清仓,1
坐等,2
暴雷,2
投诉,4
有良心,2
出门,1
被车撞,1
了还,3
告上法庭,1
翻白眼,1
明码标价,2
贷款买,6
一说,4
坏,19
谈,8
道德,2
廉耻,1
罚,1
才会,4
让它们,1
疼,1
一批,5
搞完,1
又把,1
王,1
上带,1
记得,15
做工,1
地听,1
要钱,5
不算数,1
我擦,1
朋友圈,3
过有,1
一个女人,1
天天,9
这就,3
幸好,4
合同法,1
太极,1
出口转内销,1
求救,1
还没,15
气死了,1
拆迁,13
同意,5
这几年,7
传要,1
人上,1
还有一个,1
哑巴,1
比较多,1
租金,24
2000,11
躺,2
呲牙,7
天底下,1
最好吃,1
饼,1
教你,3
挣钱,22
送钱,3
以偏概全,7
出钱,18
这句话,1
现实,2
前置条件,1
适合,5
四川,4
至少,3
工厂,17
才有,2
年内,1
34,1
拿什么,1
已安装,1
村民,3
自制,1
完了,10
性,1
可撤销合同,1
疑惑,4
业内人士,1
去年,13
100,10
来户,1
告知,6
农户,64
一户,2
逾期,1
还款,6
补齐,1
市场,6
不行了,1
听说过,2
知法,1
想骗,1
不骗,1
河北,2
全村,5
安上,3
一模一样,2
也都,3
我就,12
等着,7
是不是真的,1
典,1
凶险,1
之路,1
限流,1
个月,4
13,2
亿,1
太好了,2
😁,3
骗人,34
我说,14
叙事,2
可太,1
模糊了,1
可供参考,1
时值,1
大力推进,1
转型,1
推动,1
中和,2
的发展,1
体现,2
推敲,1
百姓,1
饿狼,1
太多,8
蠢,1
一眼,2
看成,1
女装,1
辣,19
天呐,2
就刷,1
到过,1
就在,10
我还,5
看完了,2
昨天,5
爷爷,4
捡到了,1
小广告,1
每月,6
吓得,2
我马上,1
翻出,1
推了,1
小姐,1
信,8
城里,3
物业,1
摆平,1
找我,1
kw,2
装机,2
无论是,1
自投,1
无光,1
不投,1
看好,5
基建,1
不看好,1
我老家,6
爷爷奶奶,2
遇见,1
打算,6
拦截,1
口头,1
到时候,5
不知道什么,1
呆,2
安,18
不同意,2
无孔不入,1
凡事,1
总须,1
时常,1
甚,1
翻开,1
一查,1
年代,2
歪歪斜斜,1
每叶,1
上都,1
写着,1
仁义道德,1
横竖,1
睡不着,1
仔细看,3
半夜,1
缝里,1
字来,1
满本,1
两个字,2
干掉,1
俩,3
组,2
三万,5
一组,1
盈利,4
要花,1
多少啊,2
我一个人,1
才用,2
度,11
好几万,4
我感觉,3
无望,1
第一次,1
接盘,2
习惯,2
兄弟们,2
没人管,7
得逞,1
肉字,1
罩着,1
外边,1
众生,3
肉,2
可不就是,1
人吃人,1
卧槽,1
我真,1
不敢相信,1
人性,3
可怕,2
付钱,3
听过,2
也就是,3
响应号召,1
小钱,6
哈哈哈哈哈哈哈,4
河南,1
过年,3
缺德,3
冒烟,1
销售人员,3
隐瞒,1
付费,2
环节,1
世上,1
哪有,3
回报,6
上升到,2
高度,1
别有用心,2
日出,1
之美,1
脱胎,1
最深,1
黑暗,1
没错,4
不允许,2
不一样啊,1
就算是,1
自买,1
自装,1
一停,1
指望,5
贵,6
通电,2
地方,43
充斥,1
说要,6
这跟,2
卖车,2
取,3
真好,1
就跟,2
火热,1
宇宙,1
新型,3
还会,4
最好的,4
办法,2
不相信,2
受骗,1
邻居,8
寿命,9
到了,5
又是,12
学,1
学院,1
教授,2
国内,16
前沿,1
早几年,1
他就,4
把家里,2
弄,15
其他的,4
老师,3
找他,1
改了,2
顶上,1
一个月,19
入账,1
你不知道,1
这要,2
是在,2
整个世界,1
你不懂的,1
领域,1
这方面,4
无知,1
挣,7
有事,1
律师,6
你不会,1
造,3
汽车,3
车企,1
看不懂,2
帮你,3
逼,1
致富经,1
只收,1
方式,5
自理,1
费,5
协商,2
但实际,2
共享的,1
拿出来,2
解读,1
不算,5
商业,7
出在,1
这了,1
就一个,2
能把,2
接入,5
国家电网,23
给钱,7
离谱,11
疑问,1
有没有,11
专业人士,1
解答,2
定期,5
更换,7
电是,1
去卖,1
管理,4
本来就,2
十万,6
又多,1
东窗事发,1
告诉,6
剩下,4
套房,1
算是,4
骗走,1
sqj,1
小心,6
那她,1
公证人,1
赔,4
乌烟瘴气,1
一群,2
畜生,1
弄成,1
色变,1
哪家,3
截图,1
都不敢,1
别怪,1
在那里,1
放空炮,1
搏,1
牛鬼蛇神,2
不可能,10
判,1
赔的,1
散了吧,1
搞到,3
股票,4
大跌,1
大哭,7
那句,1
顶上去,1
石人,1
一只眼,1
前段时间,4
mg,1
动画,1
那是,6
上市公司,5
承诺,3
看了没,1
小企业,1
不需要,8
去银行,6
那我,4
复制,1
一百,1
份,1
每份,1
万亿,1
这事,4
线,5
往前,2
推,3
五六年,3
出现了,3
怎么办呢,1
莫名其妙,1
能给,3
多少次,1
路子,3
外人,1
名义,9
片面,1
有一些,3
任何一个,1
走,7
偏门,1
典型,2
否认,3
有视频,1
听风就是雨,2
一定要,2
事变,2
坏事,2
才是,19
正文,1
前些日子,1
正好,5
赶上,1
村支书,1
大喇叭,1
喊,2
别安,1
这就是我,1
不喜欢,1
原因,6
电视,5
差评,1
承认,1
行骗,3
动力,1
图文,1
弱势群体,5
机会,4
说出,2
少点,1
无用,1
表情,1
年前,5
培训学校,1
号称,1
学习,2
毕业后,1
学费,1
结果是,1
中途,2
退学,1
退,1
一分钱,10
没有用,1
规则,1
所致,1
完善,5
无数,1
无穷无尽,1
没准,1
社会结构,1
变,3
豆豆,1
遥远,1
救世主,1
中说,1
如果不是,2
黑白,1
颠倒,1
那还,1
叫什么,1
接触过,2
挺麻烦的,1
你要,7
清洗,2
如果把,1
人工费,2
不多,7
老公,1
海南,3
好几个,2
后怕,1
和我,5
商量,2
不整,2
前提,3
法律制裁,1
公安部,1
新闻宣传,1
局,1
回老家,3
好吓人,1
卡,3
二,3
用房,1
养老,3
三,3
P2P,1
银行存款,1
买到,3
不判,1
这年头,2
真难,1
国外,4
反侵销,1
国家补贴,15
默许,1
明摆着,2
你去,3
告也告,1
赢,7
参与,4
骗的,2
跑,8
新华社,1
真踏马,1
几块,4
没关系,2
真实性,1
存疑,1
详细数据,1
全篇,2
网站,1
审查,1
清楚了,4
再给,2
背书,3
下架,1
大火,1
事实真相,1
缓存,1
揭露,4
没了,3
70,3
我爹,1
十来万,1
五位数,1
你也,2
可耻的,1
下限,1
我突然,1
废除,1
凌迟,1
处死,1
有点可惜,1
坏人,4
坚信,1
找上门,2
抓,2
希望如此,1
你都,4
细节,3
是哪家,1
尾,1
就来,3
点名,3
范畴,2
无效,8
就叫,1
宣布无效,1
够,13
1020,1
明确规定,1
显示,1
说到,1
打官司,5
违反,1
法律的,2
硬性指标,1
显失公平,1
奶奶,2
没钱,7
碰,1
这么多年了,1
活跃,1
不想管,1
前几年,8
人来,1
都来,3
个事,1
但你,3
艺术,1
加工,1
好吧,1
49,1
效益,2
奔驰,1
对了,2
没事,5
没看,1
废了,2
网络,3
大家都,2
好了,2
电话,5
打电话,7
手机,4
扔了,2
枪支,1
杀人,2
别造,1
枪别,1
跟你,2
凭你,1
无房,1
无车,1
社保,1
公积金,1
保单,1
复刻,1
白来,1
永远,1
特么,5
信了,1
主了,1
那么多,4
干嘛,3
高价,3
没人,9
咋办,1
创造,1
花钱,9
多钱,1
几十块,1
六十,2
没看过,1
他俩,1
识字,1
这个事儿,1
我觉得,12
相关部门,1
一管,1
不应该是,1
几分,1
几毛钱,2
那么低,2
关心,1
三四年,2
我要,5
我不是,2
卖,29
真不,2
当初,3
问我,10
的意见,2
说别,1
弄了,6
手机能,2
邪,1
别碰,3
比较好,1
害怕,3
大钱,1
扔出去,2
是多少,4
折腾,1
赚个,2
仨瓜,1
枣,1
披着,2
皮,4
来搞,1
低廉,1
1W,1
逆变器,24
蓄电池,1
腾讯,1
黎明,1
之光,1
Up,2
矛盾,1
再去,2
拜登,1
领取,1
经费,1
教父,1
级别,1
谢谢,3
🙏,1
吃亏,4
没商量,1
比你,1
多少年,6
让利,1
使用寿命,3
貌似,1
不能卖,1
许可,2
薅,1
我信了,1
反对,1
错过,1
合法化,2
同学,1
也来,1
配合,4
他们的,4
痛,2
岁数大,1
要让,2
子女,3
无脑,1
听说,8
不收费,1
不要钱,7
谁不喜欢,1
有种,2
贪,7
心,6
越,9
众所周知,1
抢走,1
口袋,1
一滴血,1
拿着,5
刀,2
持刀,1
抗战,1
吃苦,1
得利,1
最少,3
无语,12
能手,1
越多,4
就越,1
储电,1
系统,8
一周,2
用电,24
速度,1
500w,1
闲鱼,3
EPS,2
进,4
控制箱,1
闲置,1
总成本,1
万元,3
平常,2
足够,3
剩余,3
今年冬天,1
煤价,1
大涨,1
我估计,2
内回,1
本是,2
特别,7
轻松,4
老爸,3
被坑,13
二十多万,1
这有,3
村子,2
钱也,2
给了,5
像是,3
正泰,14
金顶,6
宝,6
关注,5
位博,1
主叫,1
扮猫,1
骑,1
老虎,1
原文,1
受害者,3
起草,1
质疑,2
巧不巧,1
突破,2
前高,1
正,2
加速,1
不被,1
打断,1
